0	1	2		total		moyenne	max	min
1,428571	0,4	0		1,828571				
1,111111	1	0,6666667		2,7777777				
0,9090909	1	0,6666667		2,5757576				
0	1,428571	0,4		1,828571				
1	1,111111	0,3333333		2,4444443				
0,5	0,9090909	0,4		1,8090909				
0,6666667	0,7692308	0,4		1,8358975				
1	0,6666667	0,3333333		2				
1,428571	0	0,6666667		2,0952377				
1,111111	0	0,5		1,611111				
0,9090909	1	0,6666667		2,5757576				
0	1,428571	1		2,428571				
0,6666667	1,111111	1		2,7777777				
1	0,9090909	0		1,9090909				
1,428571	0	0,4		1,828571				
1,111111	0,6666667	0,4		2,1777777				
0,9090909	1	0,5		2,4090909				
0	1,428571	0		1,428571				
1	1,111111	0		2,111111				
1	0,9090909	1		2,9090909				
0,6666667	0	1,428571		2,0952377				
0,5	1	1,111111		2,611111				
0,5	1	0,9090909		2,4090909				
1	1,428571	0		2,428571				
1	1,111111	0,6666667		2,7777777				
0,4	0,9090909	1		2,3090909				
0,3333333	0	1,428571		1,7619043				
0,3333333	1	1,111111		2,4444443				
0,3333333	1	0,9090909		2,2424242				
0,2857143	1,428571	0		1,7142853				
0,2857143	1,111111	0		1,3968253				
0,5	0,9090909	0		1,4090909				
0,4	0,7692308	0		1,1692308				
0,3333333	0,6666667	0		1				
0,6666667	0,5882353	1		2,254902				
0,6666667	0	1,428571		2,0952377				
0,4	0,6666667	1,111111		2,1777777				
1	0,6666667	0,9090909		2,5757576				
1,428571	0,5	0		1,928571				
1,111111	0,5	1		2,611111				
0,9090909	0,5	1		2,4090909				
0	0,4	1,428571		1,828571				
1	0,4	1,111111		2,511111				
0,5	0,5	0,9090909		1,9090909				
0,5	0,4	0,7692308		1,6692308				
0,4	0,3333333	0,6666667		1,4				
0,4	0	0,5882353		0,9882353				
0,6666667	0,6666667	0,5263158		1,8596492				
0,6666667	1,428571	0		2,0952377				
0,6666667	1,111111	0,4		2,1777777				
0,5	0,9090909	0,5		1,9090909				
0,6666667	0,7692308	0,5		1,9358975				
1	0,6666667	0,5		2,1666667				
1,428571	0	0		1,428571				
1,111111	0,6666667	0		1,7777777				
0,9090909	0,5	1		2,4090909				
0	0,6666667	1,428571		2,0952377				
1	1	1,111111		3,111111				
1	0,5	0,9090909		2,4090909				
1,428571	0,5	0		1,928571				
1,111111	0,3333333	0,6666667		2,111111				
0,9090909	0,5	1		2,4090909				
